iso3,year,general_public_services_pct,defense_pct,public_order_safety_pct,economic_affairs_pct,environmental_protection_pct,housing_community_amenities_pct,health_pct,recreation_culture_religion_pct,education_pct,social_protection_pct,sector_sum_pct
AGO,2000,1.07916568597651,0.2412436844975558,0.09907874887943685,0.1070909131879156,0.00016696386178692498,0.03433597351394174,0.07329430312722315,0.0,0.09466756877861884,0.044485005308496944,1.7735288471314858
AGO,2001,0.7448829078898358,0.1302318050231022,0.08866537972640055,0.1092034101426588,0.006559964615557286,0.03586969302729361,0.08006623864651698,0.01998640203567041,0.09433632111427588,0.03727170594618824,1.3470738281674997
AGO,2002,0.8320716989216597,0.11364314618891189,0.09658252766669047,0.1009351112023614,0.003771287837130139,0.02224245919921921,0.055171829179461535,0.008194042312361637,0.08322753326072985,0.045254210413244775,1.3610938461817705
AGO,2003,0.763070775937778,0.09281281872566549,0.07200271933410944,0.1055686138246931,0.002338326489499375,0.008636356085460659,0.04049244687487815,0.01226672545753982,0.0652770564625585,0.030654865343946288,1.193120704536129
AGO,2004,0.6231704312812716,0.1933925245712247,0.17309846193052952,0.07531864146541058,0.01072799070951447,0.01916332432883958,0.07189431482032071,0.02342720317875619,0.1083333598937583,0.04828623957899744,1.346812491758623
AGO,2005,0.43905904992489503,0.1555399259277658,0.1189139641574578,0.1047465313133637,0.01292751847426362,0.021493594776770132,0.04998322038777455,0.01997314122748647,0.0726365738192695,0.16112214336232508,1.1563956633713717
AGO,2006,0.4442951050070716,0.1408544666921661,0.1111251456578397,0.19246582044279978,0.008887473628592523,0.05876863348573665,0.06188513299383567,0.023910158229334382,0.07607436089965397,0.1564173953264959,1.274683692363526
AGO,2007,0.25613189552124926,0.09857765965563722,0.1027181515297948,0.24136422594674328,0.008179863361224853,0.0512445669040413,0.05845163941796587,0.02539206758183067,0.09284569800859636,0.17690175233347752,1.1118075202605613
AGO,2008,0.2700077350574664,0.09976500559110132,0.09597861088457109,0.29789303760751307,0.00810418459504452,0.031620801927458614,0.05079956952723665,0.04420122920152347,0.07513767561523134,0.09948545052505907,1.0729933005322054
AGO,2009,0.27964315064163353,0.13837315885959922,0.11690003582190191,0.1907795478011674,0.01131307585129696,0.01977052664201277,0.05274300946119645,0.03224065370124534,0.09419737867964685,0.1283467138672904,1.0643072513269907
AGO,2010,0.40080380533766286,0.1189141403579481,0.0911737306985958,0.1870740953387655,0.0104633373229556,0.02915728962277423,0.04452222251795634,0.01615753893322788,0.08341172399895058,0.22721341145783822,1.208891295586675
AGO,2011,0.4166372009226987,0.11075190966083531,0.07834239755743014,0.1523993534373895,0.009135860126394009,0.03405510374748138,0.04958635707991671,0.0151773145322243,0.08935192200838511,0.2542599046993652,1.2096973237721202
AGO,2012,0.4251100129363305,0.1194507742853895,0.10655882782772491,0.14640624407986969,0.014906979641246869,0.04414915210201839,0.05767167701392685,0.01821337296171604,0.09791394904493074,0.1871811248653593,1.2175621147585127
AGO,2013,0.3639505298874001,0.1166762767631673,0.07115619927343864,0.235968783361783,0.00934412145125778,0.036469650173457484,0.060421245734924994,0.01688292831515027,0.09447771504256036,0.1592309258614357,1.1645783758645756
