iso3,year,all_staff_pcttotal,capex_pcttotal,currex_pcttotal,expenditure_pctbudget_imf,expenditure_pctbudget_uis,expenditure_pctgdp,expenditure_perchild_ppp,lang_match_pct,teaching_staff_pcttotal
AND,2013,0.4002861022949219,0.005823400020599365,0.9941766357421875,,0.0619552993774414,0.02506160020828247,9474.775390625,,0.2997035980224609
AND,2014,,0.010908199548721308,0.989091796875,,0.1331521034240723,0.030742099285125727,8267.3486328125,,
AND,2015,,0.013343900442123411,0.9866561126708985,,0.1044281005859375,0.03280349969863892,8651.5546875,,
AND,2016,0.35129589080810547,0.008185300230979919,0.9918147277832031,,0.0999098014831543,0.03237070083618164,8454.2001953125,,0.2537171936035156
AND,2017,0.3543906021118164,0.007297800183296204,0.9927021789550782,,0.0939243984222412,0.03217089891433716,8614.0361328125,,0.2568992042541504
AND,2018,0.35644878387451173,0.005406200289726258,0.9945938110351562,0.09930040672000001,0.134619197845459,0.032467200756073,8457.1123046875,,0.255395393371582
AND,2019,0.3651662063598633,0.00757319986820221,0.9924268341064453,0.09890914096999999,0.1089523983001709,0.03150609970092773,8428.150390625,,0.2616316986083984
AND,2020,,,,0.09437000275000001,0.08991869225938949,0.02632130465530661,,,
AND,2021,,,,0.09324459750999999,0.1026473536638295,0.02381921736036997,,,
AND,2022,0.4066136169433594,0.01283300042152405,0.9871669769287109,0.08436221443999999,0.06961249828338623,0.02647279977798462,8347.5517578125,,0.28828599929809573
AND,2023,0.5760633087158203,0.01375869989395142,0.9862413024902343,0.08180802312999999,0.1276951536894096,0.01898679971694946,6315.91015625,,0.4086404037475586
AND,2024,,,,,0.12004515408112569,,,,
AND,2025,,,,,0.12129079623361759,,,,
ARE,2019,0.4492715072631836,0.2623292922973633,0.7376706695556641,,0.1356886959075928,0.03860199928283691,13274.583007812502,,
ARE,2020,0.44747238159179686,0.261194896697998,0.7388050842285157,,0.1279823017120361,0.03984179973602295,12822.244140625,,
ARE,2021,0.4475600051879883,0.20536090850830083,0.7946391296386719,,0.1475561046600342,0.03894040107727051,12364.3330078125,,
ARE,2023,,,,,,,,0.4508079147338867,
ARG,2010,0.8587178039550781,0.04219500064849854,0.9578050231933594,,0.1504796981811523,0.050197200775146486,4268.916015625,,0.6174644088745117
ARG,2011,,,,,0.1515855979919434,0.05290639877319336,4657.71337890625,,
ARG,2012,0.8839613342285156,0.04924459934234619,0.9507553863525391,,0.1451826000213623,0.05345839977264404,4685.30810546875,,0.6613150787353516
ARG,2013,0.8815756225585938,0.058538599014282225,0.9414614105224609,,0.1445792961120605,0.05436600208282471,4687.98876953125,0.9838321685791016,0.6465263366699219
ARG,2014,0.8525221252441406,0.06972990036010743,0.9302700805664063,0.06163173698,0.1379932975769043,0.05361440181732178,4531.97509765625,,0.6232754135131836
ARG,2015,0.8201448822021484,0.1077291965484619,0.8922708129882813,0.06528736443,0.1396331024169922,0.05776110172271729,5004.76708984375,,0.6004322052001954
ARG,2016,0.8241609191894531,0.10806619644165041,0.891933822631836,0.05818444197,0.1335554027557373,0.0554548978805542,4730.3603515625,,0.6029064178466796
ARG,2017,0.8214247131347656,0.10906240463256839,0.8909375762939453,0.06149153799,0.13263919830322268,0.05454329967498779,4729.18408203125,,0.5995915985107422
ARG,2018,0.8188484954833984,0.02559329986572266,0.9744066619873046,0.0550610967,0.1252334022521973,0.04877739906311035,4061.0234374999995,,0.5356084060668945
ARG,2019,0.8028205871582031,0.01775689959526062,0.9822431182861329,0.047899015399999995,0.1251445960998535,0.04771659851074219,3891.7507324218745,0.9351127624511719,0.5820259094238281
ARG,2020,0.9275882720947266,0.01854709982872009,0.981452865600586,0.044090032609999996,0.1242228984832764,0.05276899814605713,3993.0859374999995,,0.6181404113769531
ARG,2021,0.8804152679443359,0.04099820137023926,0.9590017700195312,0.051930490899999994,0.1228489971160889,0.04653930187225342,3788.8813476562495,,0.5735116958618164
ARG,2022,0.8754593658447266,0.05535250186920166,0.9446475219726562,0.05595777822,0.1270757961273193,0.04792630195617676,4223.21630859375,,0.5680973815917969
ARG,2023,0.9591361999511718,0.040863800048828135,0.9591361999511718,,0.1322395992279053,0.050032401084899904,4530.78125,,0.6228190994262696
ARM,2010,,,,0.1024713469,0.12400509834289551,0.03249000072479248,,,
ARM,2011,,,,0.1075357422,0.1259333992004395,0.03143840074539185,,,
ARM,2012,0.5563248062133789,0.3604523086547852,0.6395476913452147,0.10216081900000001,0.1236896991729736,0.027724800109863282,1480.623291015625,,0.3409823989868164
