iso3,year,lang_frac
CMR,2020,0.89
CMR,2021,0.89
CMR,2022,0.89
CMR,2023,0.89
CMR,2024,0.89
CMR,2025,0.89
CAN,2000,0.58
CAN,2001,0.58
CAN,2002,0.58
CAN,2003,0.58
CAN,2004,0.58
CAN,2005,0.58
CAN,2006,0.58
CAN,2007,0.58
CAN,2008,0.58
CAN,2009,0.58
CAN,2010,0.58
CAN,2011,0.58
CAN,2012,0.58
CAN,2013,0.58
CAN,2014,0.58
CAN,2015,0.58
CAN,2016,0.58
CAN,2017,0.58
CAN,2018,0.58
CAN,2019,0.58
CAN,2020,0.58
CAN,2021,0.58
CAN,2022,0.58
CAN,2023,0.58
CAN,2024,0.58
CAN,2025,0.58
CAF,2000,0.83
CAF,2001,0.83
CAF,2002,0.83
CAF,2003,0.83
CAF,2004,0.83
CAF,2005,0.83
CAF,2006,0.83
CAF,2007,0.83
CAF,2008,0.83
CAF,2009,0.83
CAF,2010,0.83
CAF,2011,0.83
CAF,2012,0.83
CAF,2013,0.83
CAF,2014,0.83
CAF,2015,0.83
CAF,2016,0.83
CAF,2017,0.83
CAF,2018,0.83
CAF,2019,0.83
CAF,2020,0.83
CAF,2021,0.83
CAF,2022,0.83
CAF,2023,0.83
CAF,2024,0.83
CAF,2025,0.83
LKA,2000,0.46
LKA,2001,0.46
LKA,2002,0.46
LKA,2003,0.46
LKA,2004,0.46
LKA,2005,0.46
LKA,2006,0.46
LKA,2007,0.46
LKA,2008,0.46
LKA,2009,0.46
LKA,2010,0.46
LKA,2011,0.46
LKA,2012,0.46
LKA,2013,0.46
LKA,2014,0.46
LKA,2015,0.46
LKA,2016,0.46
LKA,2017,0.46
LKA,2018,0.46
LKA,2019,0.46
LKA,2020,0.46
LKA,2021,0.46
LKA,2022,0.46
LKA,2023,0.46
LKA,2024,0.46
LKA,2025,0.46
TCD,2000,0.86
TCD,2001,0.86
TCD,2002,0.86
TCD,2003,0.86
TCD,2004,0.86
TCD,2005,0.86
TCD,2006,0.86
TCD,2007,0.86
TCD,2008,0.86
TCD,2009,0.86
TCD,2010,0.86
TCD,2011,0.86
TCD,2012,0.86
TCD,2013,0.86
TCD,2014,0.86
TCD,2015,0.86
TCD,2016,0.86
TCD,2017,0.86
TCD,2018,0.86
TCD,2019,0.86
TCD,2020,0.86
TCD,2021,0.86
TCD,2022,0.86
TCD,2023,0.86
TCD,2024,0.86
TCD,2025,0.86
CHL,2000,0.19
CHL,2001,0.19
CHL,2002,0.19
CHL,2003,0.19
CHL,2004,0.19
CHL,2005,0.19
CHL,2006,0.19
CHL,2007,0.19
CHL,2008,0.19
CHL,2009,0.19
CHL,2010,0.19
CHL,2011,0.19
CHL,2012,0.19
CHL,2013,0.19
CHL,2014,0.19
CHL,2015,0.19
CHL,2016,0.19
CHL,2017,0.19
CHL,2018,0.19
CHL,2019,0.19
CHL,2020,0.19
CHL,2021,0.19
CHL,2022,0.19
CHL,2023,0.19
CHL,2024,0.19
CHL,2025,0.19
CHN,2000,0.13
CHN,2001,0.13
CHN,2002,0.13
CHN,2003,0.13
CHN,2004,0.13
CHN,2005,0.13
CHN,2006,0.13
CHN,2007,0.13
CHN,2008,0.13
CHN,2009,0.13
CHN,2010,0.13
CHN,2011,0.13
CHN,2012,0.13
CHN,2013,0.13
CHN,2014,0.13
CHN,2015,0.13
CHN,2016,0.13
CHN,2017,0.13
CHN,2018,0.13
CHN,2019,0.13
CHN,2020,0.13
CHN,2021,0.13
CHN,2022,0.13
CHN,2023,0.13
CHN,2024,0.13
CHN,2025,0.13
TWN,2000,0.5
TWN,2001,0.5
TWN,2002,0.5
TWN,2003,0.5
TWN,2004,0.5
TWN,2005,0.5
TWN,2006,0.5
TWN,2007,0.5
TWN,2008,0.5
TWN,2009,0.5
TWN,2010,0.5
TWN,2011,0.5
TWN,2012,0.5
TWN,2013,0.5
TWN,2014,0.5
TWN,2015,0.5
TWN,2016,0.5
TWN,2017,0.5
TWN,2018,0.5
TWN,2019,0.5
TWN,2020,0.5
TWN,2021,0.5
TWN,2022,0.5
TWN,2023,0.5
TWN,2024,0.5
TWN,2025,0.5
COL,2000,0.02
COL,2001,0.02
COL,2002,0.02
COL,2003,0.02
COL,2004,0.02
COL,2005,0.02
COL,2006,0.02
COL,2007,0.02
COL,2008,0.02
COL,2009,0.02
COL,2010,0.02
COL,2011,0.02
COL,2012,0.02
COL,2013,0.02
COL,2014,0.02
COL,2015,0.02
COL,2016,0.02
COL,2017,0.02
COL,2018,0.02
COL,2019,0.02
COL,2020,0.02
COL,2021,0.02
COL,2022,0.02
COL,2023,0.02
COL,2024,0.02
COL,2025,0.02
COM,2000,0.01
COM,2001,0.01
COM,2002,0.01
COM,2003,0.01
COM,2004,0.01
COM,2005,0.01
COM,2006,0.01
COM,2007,0.01
COM,2008,0.01
COM,2009,0.01
COM,2010,0.01
COM,2011,0.01
COM,2012,0.01
COM,2013,0.01
COM,2014,0.01
COM,2015,0.01
COM,2016,0.01
COM,2017,0.01
COM,2018,0.01
COM,2019,0.01
COM,2020,0.01
COM,2021,0.01
COM,2022,0.01
COM,2023,0.01
COM,2024,0.01
COM,2025,0.01
COG,2000,0.69
COG,2001,0.69
COG,2002,0.69
COG,2003,0.69
COG,2004,0.69
COG,2005,0.69
COG,2006,0.69
COG,2007,0.69
COG,2008,0.69
COG,2009,0.69
COG,2010,0.69
COG,2011,0.69
COG,2012,0.69
COG,2013,0.69
COG,2014,0.69
COG,2015,0.69
COG,2016,0.69
COG,2017,0.69
COG,2018,0.69
COG,2019,0.69
COG,2020,0.69
COG,2021,0.69
COG,2022,0.69
COG,2023,0.69
COG,2024,0.69
COG,2025,0.69
COD,2000,0.87
COD,2001,0.87
COD,2002,0.87
COD,2003,0.87
COD,2004,0.87
COD,2005,0.87
COD,2006,0.87
COD,2007,0.87
COD,2008,0.87
COD,2009,0.87
COD,2010,0.87
COD,2011,0.87
COD,2012,0.87
COD,2013,0.87
COD,2014,0.87
COD,2015,0.87
COD,2016,0.87
COD,2017,0.87
COD,2018,0.87
COD,2019,0.87
COD,2020,0.87
COD,2021,0.87
COD,2022,0.87
COD,2023,0.87
COD,2024,0.87
COD,2025,0.87
CRI,2000,0.05
CRI,2001,0.05
CRI,2002,0.05
CRI,2003,0.05
CRI,2004,0.05
CRI,2005,0.05
CRI,2006,0.05
CRI,2007,0.05
CRI,2008,0.05
CRI,2009,0.05
CRI,2010,0.05
CRI,2011,0.05
CRI,2012,0.05
CRI,2013,0.05
CRI,2014,0.05
CRI,2015,0.05
CRI,2016,0.05
CRI,2017,0.05
CRI,2018,0.05
CRI,2019,0.05
CRI,2020,0.05
CRI,2021,0.05
CRI,2022,0.05
CRI,2023,0.05
CRI,2024,0.05
CRI,2025,0.05
HRV,2000,0.08
HRV,2001,0.08
HRV,2002,0.08
HRV,2003,0.08
HRV,2004,0.08
HRV,2005,0.08
HRV,2006,0.08
HRV,2007,0.08
HRV,2008,0.08
HRV,2009,0.08
HRV,2010,0.08
HRV,2011,0.08
HRV,2012,0.08
HRV,2013,0.08
HRV,2014,0.08
HRV,2015,0.08
HRV,2016,0.08
HRV,2017,0.08
HRV,2018,0.08
HRV,2019,0.08
HRV,2020,0.08
HRV,2021,0.08
HRV,2022,0.08
HRV,2023,0.08
HRV,2024,0.08
HRV,2025,0.08
CYP,2000,0.4
CYP,2001,0.4
CYP,2002,0.4
CYP,2003,0.4
CYP,2004,0.4
CYP,2005,0.4
CYP,2006,0.4
CYP,2007,0.4
CYP,2008,0.4
CYP,2009,0.4
CYP,2010,0.4
CYP,2011,0.4
CYP,2012,0.4
CYP,2013,0.4
CYP,2014,0.4
CYP,2015,0.4
CYP,2016,0.4
CYP,2017,0.4
CYP,2018,0.4
CYP,2019,0.4
CYP,2020,0.4
CYP,2021,0.4
CYP,2022,0.4
CYP,2023,0.4
CYP,2024,0.4
CYP,2025,0.4
CZE,2000,0.32
CZE,2001,0.32
CZE,2002,0.32
CZE,2003,0.32
CZE,2004,0.32
CZE,2005,0.32
CZE,2006,0.32
CZE,2007,0.32
CZE,2008,0.32
CZE,2009,0.32
CZE,2010,0.32
CZE,2011,0.32
CZE,2012,0.32
CZE,2013,0.32
CZE,2014,0.32
CZE,2015,0.32
CZE,2016,0.32
CZE,2017,0.32
CZE,2018,0.32
CZE,2019,0.32
CZE,2020,0.32
CZE,2021,0.32
CZE,2022,0.32
CZE,2023,0.32
CZE,2024,0.32
CZE,2025,0.32
BEN,2000,0.79
BEN,2001,0.79
BEN,2002,0.79
BEN,2003,0.79
BEN,2004,0.79
BEN,2005,0.79
BEN,2006,0.79
BEN,2007,0.79
BEN,2008,0.79
BEN,2009,0.79
BEN,2010,0.79
BEN,2011,0.79
BEN,2012,0.79
BEN,2013,0.79
BEN,2014,0.79
BEN,2015,0.79
BEN,2016,0.79
BEN,2017,0.79
BEN,2018,0.79
BEN,2019,0.79
BEN,2020,0.79
BEN,2021,0.79
BEN,2022,0.79
BEN,2023,0.79
BEN,2024,0.79
BEN,2025,0.79
DNK,2000,0.1
DNK,2001,0.1
DNK,2002,0.1
DNK,2003,0.1
DNK,2004,0.1
DNK,2005,0.1
DNK,2006,0.1
DNK,2007,0.1
DNK,2008,0.1
DNK,2009,0.1
DNK,2010,0.1
DNK,2011,0.1
DNK,2012,0.1
DNK,2013,0.1
DNK,2014,0.1
DNK,2015,0.1
DNK,2016,0.1
DNK,2017,0.1
DNK,2018,0.1
DNK,2019,0.1
DNK,2020,0.1
DNK,2021,0.1
DNK,2022,0.1
DNK,2023,0.1
DNK,2024,0.1
DNK,2025,0.1
DOM,2000,0.04
DOM,2001,0.04
DOM,2002,0.04
DOM,2003,0.04
DOM,2004,0.04
DOM,2005,0.04
DOM,2006,0.04
DOM,2007,0.04
DOM,2008,0.04
DOM,2009,0.04
DOM,2010,0.04
DOM,2011,0.04
DOM,2012,0.04
DOM,2013,0.04
DOM,2014,0.04
DOM,2015,0.04
DOM,2016,0.04
DOM,2017,0.04
DOM,2018,0.04
DOM,2019,0.04
DOM,2020,0.04
DOM,2021,0.04
DOM,2022,0.04
DOM,2023,0.04
DOM,2024,0.04
DOM,2025,0.04
ECU,2000,0.13
ECU,2001,0.13
ECU,2002,0.13
ECU,2003,0.13
ECU,2004,0.13
ECU,2005,0.13
ECU,2006,0.13
ECU,2007,0.13
ECU,2008,0.13
ECU,2009,0.13
ECU,2010,0.13
ECU,2011,0.13
ECU,2012,0.13
ECU,2013,0.13
ECU,2014,0.13
ECU,2015,0.13
ECU,2016,0.13
ECU,2017,0.13
ECU,2018,0.13
ECU,2019,0.13
ECU,2020,0.13
ECU,2021,0.13
ECU,2022,0.13
ECU,2023,0.13
ECU,2024,0.13
ECU,2025,0.13
GNQ,2000,0.32
GNQ,2001,0.32
GNQ,2002,0.32
