iso3,year,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct
AND,2022,4531.0,79705.0,0.05684712376889781,,4.684070110321045
AND,2023,4383.0,80856.0,0.05420747996438112,,5.455399990081787
AND,2024,4224.0,81938.0,0.05155117283799946,,6.140349864959717
AND,2025,4083.0,,,,
ARE,2010,405598.0,6869838.0,0.05904040240832462,,
ARE,2011,419876.0,7104538.0,0.05909969092993802,,
ARE,2012,442686.0,7391448.0,0.05989164775291662,,
ARE,2013,457041.0,7693031.0,0.05940974370179972,,
ARE,2014,472343.0,8059440.0,0.058607421855612796,,
ARE,2015,502246.0,8505237.0,0.05905138210728284,,
ARE,2016,527062.0,8935095.0,0.05898784512084091,,
ARE,2017,594243.0,9223225.0,0.06442898227030133,,
ARE,2018,608455.0,9346701.0,0.06509837000242118,,
ARE,2019,608865.0,9445785.0,0.06445890945008806,3.319999933242798,
ARE,2020,492924.0,9401038.0,0.05243293346968707,,
ARE,2021,485357.0,9575152.0,0.050689221434813775,2.797106933857172,
ARE,2022,498557.0,10074977.0,0.0494846787243286,,80.72086334228516
ARE,2023,521969.0,10483751.0,0.04978838203997787,,82.55024719238281
ARE,2024,542811.0,10986400.0,0.04940754023155902,,81.64241790771484
ARE,2025,496340.0,,,,
ARG,2010,4187912.0,41288694.0,0.1014299943708561,0.700502012014772,23.63710021972656
ARG,2011,4184764.0,41730660.0,0.10028032147107187,0.6387328468283402,23.95075035095215
ARG,2012,4183533.0,42161721.0,0.0992258593998096,0.5752586722373962,24.73650932312012
ARG,2013,4187631.0,42582455.0,0.09834169965071295,0.8029118776321411,25.32307052612305
ARG,2014,4197732.0,43024071.0,0.09756705728753562,0.8680881857872009,25.77523040771484
ARG,2015,4236398.0,43477012.0,0.0974399528652061,0.9766201972961426,26.16019058227539
ARG,2016,4277280.0,43900313.0,0.09743165156931796,0.9730817079544067,26.37001037597656
ARG,2017,4326408.0,44288894.0,0.09768607001114094,0.9278823137283325,26.65361022949219
ARG,2018,4369820.0,44654882.0,0.09785760938747974,0.953084409236908,26.48628997802734
ARG,2019,4390431.0,44973465.0,0.09762269818436271,0.9201202988624573,26.08009910583496
ARG,2020,4427050.0,45191965.0,0.09796099815531367,,25.77693939208984
ARG,2021,4458477.0,45312281.0,0.09839445072297287,,25.1348991394043
ARG,2022,4483794.0,45407904.0,0.09874479121520341,,25.34737014770508
ARG,2023,4467026.0,45538401.0,0.09809360675619681,,25.81106948852539
ARG,2024,4426704.0,45696159.0,0.09687256208995597,,
ARG,2025,4376830.0,,,,
ARM,2010,100825.0,3044800.0,0.03311383342091435,,
ARM,2011,139031.0,3027900.0,0.04591664189702434,,1.549929976463318
ARM,2012,142623.0,3024100.0,0.04716213088191528,,1.590240001678467
ARM,2013,146690.0,3022000.0,0.04854070152217075,,1.833789944648743
ARM,2014,150943.0,3013800.0,0.05008394717632225,,1.856619954109192
ARM,2015,155282.0,3004600.0,0.05168142181987619,,2.028379917144775
ARM,2016,159467.0,2992300.0,0.05329245062326638,,2.170650005340576
ARM,2017,163411.0,2979400.0,0.054846949050144325,1.919999957084656,2.21055006980896
ARM,2018,166512.0,2969000.0,0.05608352980801617,,2.308769941329956
