iso3,year,education_nec_pct,education_not_definable_by_level_pct,education_total_pct,post_secondary_non_tertiary_pct,ecd_and_primary_pct,education_rnd_pct,secondary_pct,education_subsidiary_services_pct,tertiary_pct
CYP,2014,0.020014369290772865,0.058195627630093415,1.0,0.001539566868520986,0.3292620342810224,0.0,0.38119675664579716,0.05450066714564304,0.1552909781381505
CYP,2015,0.020477137176938363,0.08558648111332008,1.0,0.001391650099403574,0.3242544731610337,0.0,0.3642147117296221,0.051093439363817085,0.15298210735586476
CYP,2016,0.031036144578313246,0.08337349397590361,1.0,0.0014457831325301173,0.3195180722891565,0.002120481927710838,0.3525783132530119,0.05330120481927709,0.15662650602409633
CYP,2017,0.010506566604127578,0.07879924953095684,1.0,0.0014071294559099385,0.3016885553470918,0.0,0.35300187617260775,0.07551594746716694,0.17908067542213876
CYP,2018,0.007895703268453912,0.07390745501285349,1.0,0.0001836210062431136,0.3119720896070511,0.0,0.35989717223650397,0.07445831803158282,0.1716856408373118
CYP,2019,0.007222314461231943,0.06940063091482652,1.0,0.0001660302174995819,0.32201560684044506,0.0,0.347252199900382,0.062344346671094154,0.19159887099452108
CYP,2020,0.0,0.06830924741372503,1.0,7.897022822395523e-05,0.33980889204769804,0.0,0.3530758903893233,0.05685856432125089,0.1818684355997789
CYP,2021,0.006910692588092338,0.0631075334143378,1.0,0.0001518833535844408,0.335586269744836,0.0,0.34333232077764275,0.06979040097205347,0.1811208991494532
CYP,2022,0.011098623208766508,0.05647653835347007,1.0,0.00021073335206518365,0.33773531890980607,0.0,0.3382270300646249,0.07628547344759763,0.17996628266366957
CYP,2023,0.013298359055694504,0.05233941316415544,1.0,0.00024400658817787618,0.3384371378027208,0.0,0.33758311474409813,0.07405599951198683,0.18404196913316656
CZE,2000,0.05158112764515546,0.011721248102933183,1.0,0.000763599224946782,0.22260826405261203,0.11373810455582387,0.41602794773163315,0.05347103572689875,0.130088672959997
CZE,2001,0.029872230021502313,0.009258436550388273,1.0,0.0008974108364579801,0.20099337159916825,0.07852789081797663,0.4863877881044194,0.05588825902297726,0.13817461304710954
CZE,2002,0.017762699115390947,0.008932279219914283,1.0,0.000877557256693331,0.19056312535748712,0.07544641807767952,0.49980019901744954,0.059274291490045226,0.14734343046534043
CZE,2003,0.013708635316590827,0.008286982414742395,1.0,0.0023035001966402553,0.22499157256025618,0.0733538401033766,0.4925838530254508,0.056597280746109334,0.1281743356368335
CZE,2004,0.015442898665236899,0.02524197872280385,1.0,0.0022575274430679726,0.0900612354318932,0.07780709427998983,0.5748158704179247,0.03235319016846798,0.1820202048706154
CZE,2005,0.014406212344356671,0.025304592314901595,1.0,0.0022158254117016947,0.08995849511313428,0.0875485339402865,0.5579863435533539,0.06337528450930512,0.15920471281296025
CZE,2006,0.012671338667571183,0.024694573493158567,1.0,0.0004845636201748043,0.09172789329909085,0.08607667007880217,0.5607188501305294,0.06277521699364617,0.16085089371702693
CZE,2007,0.01025124996069306,0.028684632558724582,1.0,0.000477972390805312,0.101443350838024,0.010949341215685046,0.5779063551460648,0.07099147825540081,0.1992956196346028
CZE,2008,0.013679642150246061,0.010973978415219514,1.0,0.004854457081635981,0.2353201096792549,0.0106471197089747,0.46797087325751036,0.06761738161964545,0.18893643808751345
CZE,2009,0.015626260879589602,0.014012335004899418,1.0,0.005170326819989622,0.24521298057524926,0.010784483255519048,0.4630007493227275,0.06692028358983228,0.1792725805521932
CZE,2010,0.015761580287700465,0.021502971069355552,1.0,0.005133411338243051,0.24817032601463745,0.011672058182485606,0.44922798081996934,0.06306926377130798,0.1854624085163008
