iso3,year,pcr_modelled_pct,pcr_pct,pcr_wpia
GRC,2019,99.26000213623047,99.26,
GRC,2020,99.27999877929688,99.47,
GRC,2021,99.29000091552734,99.06,
GRC,2022,99.30000305175781,,
GRC,2023,99.30999755859375,,
GRC,2024,99.31999969482422,,
GRC,2025,99.33000183105469,,
GTM,2010,70.22000122070312,,
GTM,2011,72.26000213623047,70.78999999999999,0.5028862953186035
GTM,2012,74.16999816894531,,
GTM,2013,75.8499984741211,,
GTM,2014,77.27999877929688,72.5,0.6606000000000001
GTM,2015,78.45999908447266,78.26445007324219,0.5830900073051453
GTM,2016,79.44999694824219,,
GTM,2017,80.4000015258789,,
GTM,2018,81.3499984741211,,
GTM,2019,82.26000213623047,,
GTM,2020,83.19999694824219,,
GTM,2021,84.0199966430664,,
GTM,2022,84.76000213623047,85.23755645751953,
GTM,2023,85.5999984741211,,
GTM,2024,86.36000061035156,84.97044372558594,
GTM,2025,87.05000305175781,,
GUY,2010,96.16999816894531,,
GUY,2011,96.55000305175781,,
GUY,2012,96.88999938964844,,
GUY,2013,97.19999694824219,,
GUY,2014,97.4800033569336,97.53209686279297,0.9535700082778931
GUY,2015,97.7300033569336,,
GUY,2016,97.95999908447266,,
GUY,2017,98.16999816894531,,
GUY,2018,98.3499984741211,,
GUY,2019,98.5199966430664,98.21882629394531,0.953790009021759
GUY,2020,98.66000366210938,,
GUY,2021,98.80000305175781,,
GUY,2022,98.91999816894531,,
GUY,2023,99.02999877929688,,
GUY,2024,99.12000274658203,,
GUY,2025,99.22000122070312,,
HND,2010,77.62999725341797,80.9,0.7152
HND,2011,78.63999938964844,82.91049194335938,0.6276100277900696
HND,2012,79.5199966430664,81.9,0.7864
HND,2013,80.2699966430664,82.7,0.782
HND,2014,80.86000061035156,82.5,0.7141
HND,2015,81.5199966430664,84.8,0.8066
HND,2016,82.36000061035156,84.4,0.8076000000000001
HND,2017,83.37000274658203,,
HND,2018,84.5199966430664,86.9,0.7639
HND,2019,85.58000183105469,87.39939880371094,0.7315800189971924
HND,2020,86.5,,
HND,2021,87.25,,
HND,2022,87.9000015258789,,
HND,2023,88.45999908447266,85.14341735839844,0.8597
HND,2024,89.02999877929688,88.06777954101562,
HND,2025,89.56999969482422,,
HRV,2010,99.68000030517578,98.85000000000001,
HRV,2011,99.68000030517578,99.31,
HRV,2012,99.68000030517578,99.735,
HRV,2013,99.68000030517578,99.485,
HRV,2014,99.68000030517578,99.42999999999999,
HRV,2015,99.69000244140625,99.38,
HRV,2016,99.69999694824219,99.385,
HRV,2017,99.70999908447266,99.505,
HRV,2018,99.70999908447266,99.52,
HRV,2019,99.72000122070312,99.3,
HRV,2020,99.72000122070312,99.175,
HRV,2021,99.7300033569336,99.785,
HRV,2022,99.7300033569336,,
HRV,2023,99.75,,
HRV,2024,99.75,,
HRV,2025,99.76000213623047,,
HTI,2010,37.34999847412109,,
HTI,2011,38.02999877929688,,
HTI,2012,38.72999954223633,44.05852127075195,0.2057500034570694
HTI,2013,39.47999954223633,,
HTI,2014,40.38000106811523,,
HTI,2015,41.34000015258789,,
HTI,2016,42.36000061035156,,
HTI,2017,43.33000183105469,52.98419189453125,0.2592499852180481
HTI,2018,44.27000045776367,,
HTI,2019,45.15000152587891,,
HTI,2020,46.0,,
HTI,2021,46.91999816894531,,
HTI,2022,47.79999923706055,,
HTI,2023,48.65999984741211,,
HTI,2024,49.56000137329102,,
HTI,2025,50.5099983215332,,
HUN,2010,99.06999969482422,99.275,
HUN,2011,99.06999969482422,99.205,
HUN,2012,99.06999969482422,99.42999999999999,
HUN,2013,99.06999969482422,99.325,
HUN,2014,99.06999969482422,99.44,
HUN,2015,99.06999969482422,99.435,
HUN,2016,99.08000183105469,99.445,
HUN,2017,99.08999633789062,99.295,
HUN,2018,99.0999984741211,99.235,
HUN,2019,99.0999984741211,99.02,
HUN,2020,99.11000061035156,99.205,
HUN,2021,99.12000274658203,99.205,
HUN,2022,99.12999725341797,,
HUN,2023,99.13999938964844,,
HUN,2024,99.13999938964844,,
HUN,2025,99.1500015258789,,
IDN,2010,94.93000030517578,,
IDN,2011,95.36000061035156,,
IDN,2012,95.79000091552734,95.24000000000001,0.8785433173179626
IDN,2013,96.16999816894531,,
IDN,2014,96.4800033569336,,
IDN,2015,96.75,,
IDN,2016,97.02999877929688,,
IDN,2017,97.30999755859375,96.64209747314453,0.9128400087356567
IDN,2018,97.5999984741211,,
IDN,2019,97.87999725341797,,
IDN,2020,98.12999725341797,,
IDN,2021,98.33999633789062,,
IDN,2022,98.51000213623047,99.05000000000001,
IDN,2023,98.66000366210938,,
IDN,2024,98.77999877929688,,
IDN,2025,98.88999938964844,,
IND,2010,86.1500015258789,,
IND,2011,87.23999786376953,88.35,0.8694122433662415
IND,2012,88.22000122070312,,
IND,2013,89.19999694824219,,
IND,2014,90.02999877929688,,
IND,2015,90.80000305175781,,
IND,2016,91.52999877929688,91.59638214111328,0.8158599734306335
IND,2017,92.2699966430664,,
IND,2018,93.0,,
IND,2019,93.69000244140625,94.15231323242188,0.8790900111198425
IND,2020,94.29000091552734,,
IND,2021,94.81999969482422,,
IND,2022,95.30000305175781,,
IND,2023,95.7300033569336,,
IND,2024,96.1500015258789,,
IND,2025,96.52999877929688,,
IRL,2010,99.72000122070312,,
IRL,2011,99.7300033569336,,
IRL,2012,99.73999786376953,,
IRL,2013,99.73999786376953,,
IRL,2014,99.73999786376953,,
IRL,2015,99.73999786376953,,
IRL,2016,99.73999786376953,,
IRL,2017,99.75,,
IRL,2018,99.76000213623047,,
IRL,2019,99.7699966430664,,
IRL,2020,99.7699966430664,,
IRL,2021,99.7699966430664,,
IRL,2022,99.77999877929688,,
IRL,2023,99.79000091552734,,
IRL,2024,99.79000091552734,,
IRL,2025,99.80000305175781,,
IRN,2010,93.47000122070312,,
IRN,2011,93.62999725341797,,
IRN,2012,93.80999755859375,,
IRN,2013,93.98999786376953,,
IRN,2014,94.2300033569336,,
IRN,2015,94.44999694824219,,
IRN,2016,94.66000366210938,,
IRN,2017,94.91000366210938,,
IRN,2018,95.1500015258789,,
IRN,2019,95.4000015258789,,
IRN,2020,95.66000366210938,,
IRN,2021,95.87999725341797,,
IRN,2022,96.11000061035156,,
IRN,2023,96.33000183105469,,
IRN,2024,96.51000213623047,,
IRN,2025,96.73999786376953,,
IRQ,2010,62.77000045776367,,
IRQ,2011,64.33000183105469,65.3929214477539,0.4391700029373169
IRQ,2012,66.11000061035156,,
IRQ,2013,67.94999694824219,,
IRQ,2014,69.83999633789062,,
IRQ,2015,71.69999694824219,,
IRQ,2016,73.51000213623047,,
IRQ,2017,75.20999908447266,,
IRQ,2018,76.69999694824219,75.67041015625,0.5841599702835083
IRQ,2019,78.01000213623047,,
IRQ,2020,79.16000366210938,,
IRQ,2021,80.18000030517578,,
IRQ,2022,81.08000183105469,,
IRQ,2023,81.87999725341797,,
IRQ,2024,82.6500015258789,,
IRQ,2025,83.2699966430664,,
ISL,2010,97.69000244140625,,
ISL,2011,97.66000366210938,,
ISL,2012,97.62000274658203,,
ISL,2013,97.55000305175781,,
