iso3,year,lays,lays_male,lays_female
SEN,2018,4.8705905000000005,4.614248,5.126933
SEN,2020,4.856378149999999,4.5384693,5.174287
SRB,2010,9.4323465,9.292819,9.571874
SRB,2017,11.155000000000001,11.07,11.24
SRB,2018,11.2111035,11.136333,11.285874
SRB,2020,9.755120999999999,9.580315,9.929927
SYC,2010,8.557871,8.820057,8.295685
SLE,2017,4.525,4.58,4.47
SLE,2018,4.6574035,4.652392,4.662415
SLE,2020,4.8545921,4.8236027,4.8855815
SGP,2010,12.450180499999998,12.366867,12.533494
SGP,2017,12.91,12.81,13.01
SGP,2018,12.9359735,12.865899,13.006048
SGP,2020,12.8108155,12.766368,12.855263
SVK,2010,10.2425245,10.0584,10.426649
SVK,2017,10.379999999999999,10.33,10.43
SVK,2018,10.103882500000001,10.033826,10.173939
SVK,2020,9.799675,9.660707,9.938643
SVN,2010,11.1929355,10.901346,11.484525
SVN,2017,11.61,11.46,11.76
SVN,2018,11.6205985,11.434705,11.806492
SVN,2020,11.3782715,11.13348,11.623063
SLB,2017,5.34,5.26,5.42
SLB,2018,5.02510685,4.772354,5.2778597
SLB,2020,4.6880222,4.4523544,4.92369
ZAF,2010,6.30822565,6.321889,6.2945623
ZAF,2017,5.115,4.91,5.32
ZAF,2018,5.5644541499999995,5.3231463,5.805762
ZAF,2020,5.5960897,5.36605,5.8261294
KOR,2010,12.246094,12.12137,12.370818
KOR,2017,12.24,12.14,12.34
KOR,2018,12.2507365,12.185771,12.315702
KOR,2020,11.686291,11.639651,11.732931
ESP,2010,10.270183,10.148659,10.391707
ESP,2017,10.78,10.7,10.86
ESP,2018,10.665849999999999,10.581972,10.749728
ESP,2020,10.516617499999999,10.474941,10.558294
SDN,2018,4.304562000000001,4.283374,4.32575
SDN,2020,4.3063593000000004,4.2852173,4.3275013
SWE,2010,11.122301499999999,10.946347,11.298256
SWE,2017,11.68,11.56,11.8
SWE,2018,11.7071635,11.599168,11.815159
SWE,2020,11.5763935,11.437016,11.715771
CHE,2010,11.223613,11.207348,11.239878
CHE,2017,11.135000000000002,11.14,11.13
CHE,2018,11.1123255,11.128888,11.095763
CHE,2020,10.93697475,10.8916645,10.982285
TJK,2017,7.665,7.9,7.43
TJK,2018,7.7136597,7.944445,7.4828744
TZA,2017,4.825,4.69,4.96
TZA,2018,4.4748318000000005,4.3323183,4.6173453
TZA,2020,4.4858198,4.3379593,4.6336803
THA,2010,8.436641,8.095407,8.777875
THA,2017,8.61,8.63,8.59
THA,2018,8.8372665,8.69327,8.981263
THA,2020,8.6638625,8.438188,8.889537
TGO,2010,4.5374203,4.7782826,4.296558
TGO,2017,5.54,5.83,5.25
TGO,2018,5.7056527500000005,5.8188305,5.592475
TGO,2020,5.9726035500000005,6.1941395,5.7510676
TON,2017,6.5600000000000005,6.21,6.91
TON,2018,6.87370535,6.4195995,7.3278112
TON,2020,7.1735941,6.7848682,7.56232
TTO,2010,8.14473135,7.6979327,8.59153
TUN,2010,6.805460999999999,6.482104,7.128818
TUN,2017,6.279999999999999,5.89,6.67
TUN,2018,6.3784872,5.98688,6.7700944
TUN,2020,6.513748,6.086691,6.940805
TUR,2010,9.11895475,9.142585,9.0953245
TUR,2017,8.905000000000001,8.89,8.92
TUR,2018,8.865167,8.840849,8.889485
TUR,2020,9.227367999999998,9.191332,9.263404
TUV,2018,5.8030823,5.538736,6.0674286
TUV,2020,6.011075,5.6364045,6.3857455
UKR,2010,10.270949,10.269108,10.27279
UKR,2017,10.205,10.18,10.23
UKR,2018,10.123028,10.085878,10.160178
UKR,2020,9.881484,9.724555,10.038413
ARE,2010,8.803356,8.371061,9.235651
ARE,2018,9.704426,9.630922,9.77793
ARE,2020,9.626927,9.488609,9.765245
GBR,2010,11.321807499999998,11.316956,11.326659
GBR,2017,11.48,11.47,11.49
GBR,2018,11.4577685,11.425371,11.490166
GBR,2020,11.5374735,11.520398,11.554549
USA,2010,10.3521425,10.354109,10.350176
USA,2017,11.14,11.09,11.19
USA,2018,10.7809075,10.728461,10.833354
USA,2020,10.5588175,10.475918,10.641717
URY,2010,8.483452,8.178005,8.788899
URY,2018,8.6499865,8.429204,8.870769
URY,2020,8.549741000000001,8.303366,8.796116
UZB,2020,9.1327295,9.158077,9.107382
VUT,2017,6.0600000000000005,5.92,6.2
VUT,2018,5.37596475,5.226556,5.5253735
VUT,2020,5.6289036,5.49123,5.7665772
VNM,2010,10.0827435,9.946611,10.218876
VNM,2018,10.650763999999999,10.29073,11.010798
VNM,2020,10.679492,10.314932,11.044052
YEM,2017,4.125,4.47,3.78
YEM,2018,4.171657,4.523342,3.819972
YEM,2020,4.171657,4.523342,3.819972
ZWE,2010,6.83275975,6.9486055,6.716914
