iso3,year,fsi_total
HUN,2020,47.62085657690617
HUN,2021,51.09999999999999
HUN,2022,50.8
HUN,2023,48.8
IDN,2011,81.6
IDN,2012,80.6
IDN,2013,78.2
IDN,2014,76.8
IDN,2015,75.0
IDN,2016,74.9
IDN,2017,72.9
IDN,2018,72.29772813709069
IDN,2019,70.4
IDN,2020,67.84550475118697
IDN,2021,67.6
IDN,2022,66.60000000000001
IDN,2023,65.60000000000001
IND,2011,79.3
IND,2012,78.0
IND,2013,77.5
IND,2014,76.9
IND,2015,79.3
IND,2016,79.6
IND,2017,77.9
IND,2018,76.30850993941235
IND,2019,74.4
IND,2020,75.30743258442217
IND,2021,76.99999999999999
IND,2022,75.3
IND,2023,74.10000000000001
IRL,2011,25.3
IRL,2012,26.5
IRL,2013,24.8
IRL,2014,26.1
IRL,2015,24.6
IRL,2016,22.5
IRL,2017,22.3
IRL,2018,20.7393047786885
IRL,2019,20.6
IRL,2020,19.93941688089731
IRL,2021,22.200000000000003
IRL,2022,20.799999999999997
IRL,2023,19.5
IRN,2011,90.2
IRN,2012,89.6
IRN,2013,89.7
IRN,2014,87.2
IRN,2015,87.1
IRN,2016,86.9
IRN,2017,85.8
IRN,2018,84.27111516741917
IRN,2019,83.0
IRN,2020,83.3866086520676
IRN,2021,84.5
IRN,2022,84.1
IRN,2023,85.39999999999999
IRQ,2011,104.8
IRQ,2012,104.3
IRQ,2013,103.9
IRQ,2014,102.2
IRQ,2015,104.4
IRQ,2016,104.7
IRQ,2017,105.4
IRQ,2018,102.20568542153825
IRQ,2019,99.1
IRQ,2020,95.94116979347217
IRQ,2021,96.2
IRQ,2022,93.8
IRQ,2023,91.39999999999999
ISL,2011,30.1
ISL,2012,29.1
ISL,2013,24.7
ISL,2014,25.9
ISL,2015,23.4
ISL,2016,22.8
ISL,2017,22.5
ISL,2018,20.3
ISL,2019,19.8
ISL,2020,17.799999999999997
ISL,2021,18.0
ISL,2022,17.1
ISL,2023,15.700000000000001
ISR,2011,84.4
ISR,2012,82.2
ISR,2013,80.8
ISR,2014,79.5
ISR,2015,79.4
ISR,2016,79.7
ISR,2017,78.9
ISR,2018,78.53374002748376
ISR,2019,76.5
ISR,2020,75.1239717239818
ISR,2021,43.0
ISR,2022,42.599999999999994
ISR,2023,44.1
ITA,2011,45.8
ITA,2012,45.8
ITA,2013,44.6
ITA,2014,43.4
ITA,2015,43.2
ITA,2016,43.1
ITA,2017,45.2
ITA,2018,43.8
ITA,2019,43.8
ITA,2020,42.35313024887805
ITA,2021,45.2
ITA,2022,43.4
ITA,2023,42.6
JAM,2011,67.1
JAM,2012,65.8
JAM,2013,65.6
JAM,2014,64.9
JAM,2015,64.6
JAM,2016,65.0
JAM,2017,65.2
JAM,2018,63.11945865018858
JAM,2019,61.2
JAM,2020,60.02494703870308
JAM,2021,61.2
JAM,2022,62.1
JAM,2023,61.90000000000001
JOR,2011,74.5
JOR,2012,74.8
JOR,2013,75.7
JOR,2014,76.7
JOR,2015,76.9
JOR,2016,78.0
JOR,2017,78.7
JOR,2018,76.75207113512026
JOR,2019,75.9
JOR,2020,75.42853052941282
JOR,2021,76.8
JOR,2022,76.60000000000001
JOR,2023,75.7
JPN,2011,31.0
JPN,2012,43.5
JPN,2013,36.1
JPN,2014,36.3
JPN,2015,36.0
JPN,2016,35.1
JPN,2017,37.4
JPN,2018,34.47489966723306
JPN,2019,34.3
JPN,2020,32.332289117028274
JPN,2021,32.2
JPN,2022,31.0
JPN,2023,30.500000000000004
KAZ,2011,70.2
KAZ,2012,70.9
KAZ,2013,69.8
KAZ,2014,68.5
KAZ,2015,68.3
KAZ,2016,66.5
KAZ,2017,65.9
KAZ,2018,63.43851484252681
KAZ,2019,61.6
KAZ,2020,59.770101356315976
KAZ,2021,61.20000000000001
KAZ,2022,59.5
KAZ,2023,60.6
KEN,2011,98.7
KEN,2012,98.4
KEN,2013,99.6
KEN,2014,99.0
KEN,2015,97.3
KEN,2016,98.3
KEN,2017,96.4
KEN,2018,97.38051499327098
KEN,2019,93.5
KEN,2020,90.31586992597771
KEN,2021,89.2
KEN,2022,88.19999999999997
KEN,2023,87.8
KGZ,2011,91.8
KGZ,2012,87.4
KGZ,2013,85.7
KGZ,2014,83.9
KGZ,2015,82.2
KGZ,2016,81.1
KGZ,2017,80.3
KGZ,2018,78.6341219093271
KGZ,2019,76.2
KGZ,2020,73.92936357080953
KGZ,2021,76.4
KGZ,2022,77.1
KGZ,2023,75.60000000000001
KHM,2011,88.5
KHM,2012,88.7
KHM,2013,88.0
KHM,2014,88.5
KHM,2015,87.9
KHM,2016,87.4
KHM,2017,85.7
KHM,2018,84.04889218927363
KHM,2019,82.5
KHM,2020,80.30838110384798
KHM,2021,80.60000000000001
KHM,2022,80.5
KHM,2023,80.30000000000001
KOR,2011,38.8
KOR,2012,37.6
KOR,2013,35.4
KOR,2014,36.4
