COUNTRY,COUNTRY_label,TIME_PERIOD,"General public services, Transactions","Defence, Transactions","Public order and safety, Transactions","Economic affairs, Transactions","Environmental protection, Transactions","Housing and community amenities, Transactions","Health, Transactions","Recreation, culture and religion, Transactions","Education, Transactions","Social protection, Transactions",sector_sum_before_norm,sector_sum_pct
AUS,Australia,2017,11.394083192139812,5.2204941720898335,4.8697044693550735,10.754763151129183,2.184653221534928,1.2981542111800435,19.927333099989745,2.2156280297234257,14.849632793648965,27.285553659208993,99.9996902528776,100.0
AUS,Australia,2018,10.659201632595302,5.2702511412831905,5.085050664716362,11.672938317624704,2.290823729253421,1.3593655998961904,19.601759994337804,2.405836764064031,15.108436648461204,26.54633550776781,99.99999999999997,100.00000000000001
AUS,Australia,2019,10.536255355445487,5.415794417793034,5.167429971539824,11.662954672791688,2.2603673340822374,1.4982703688114485,19.38984855622488,2.3060820020794575,15.293368306912683,26.469629014319267,100.00000000000011,100.00000000000001
AUS,Australia,2020,9.13485968321859,5.2644380706051255,4.776767114842304,16.66642584150332,2.1166123605923324,1.3908857308682514,17.945327871418616,2.0831376628881224,14.456252904953516,26.165292759109825,99.9999999999999,100.0
AUS,Australia,2021,7.849048213806947,4.993362672717639,4.611580119842448,19.472871968245496,2.0330493123990494,1.4451717531044996,17.859532793192194,1.9913071720190294,13.145395613042696,26.59868038162999,100.00000000000003,99.99999999999999
AUS,Australia,2022,9.170415038544519,5.460429113393851,4.91023045788645,13.678303843953996,2.1244601633644873,1.6224900125437844,19.97064732277115,2.090886124954482,13.944708917461462,27.027429005125814,99.99989063843101,100.0
AUT,Austria,2016,12.787926104898089,1.2053216435870702,2.6714668595193154,11.742819652848553,0.7055872143585541,0.7097896529402756,16.338519768832523,2.393466653288533,9.739156971920652,41.70594547780643,100.00000555878151,100.0
AUT,Austria,2017,12.022509408230931,1.2220785581060452,2.7578532478437943,12.159859159205531,0.7136509045123024,0.6893033103592915,16.646276718968323,2.3989409370908166,9.788241572551538,41.601286183131435,99.99999999999999,100.00000000000001
AUT,Austria,2018,11.95862547269357,1.2096229019203,2.775479251932063,12.26826000442889,0.7493955416918248,0.695452317492888,16.9806716722665,2.344119322964212,9.778937927057164,41.23943558755259,100.0,100.0
AUT,Austria,2019,11.669735254773563,1.252073629209069,2.7330002606951225,12.246568313100509,0.7853376156467378,0.6592473528724448,17.124530730739046,2.3686610444895964,9.861676961323626,41.29916883715028,99.99999484588554,100.0
AUT,Austria,2020,10.683240155570823,1.0920972872035175,2.5047574079900956,17.69923286681424,0.695014809187828,0.4986374886319703,16.143240111512245,2.078196991019762,8.826070338777381,39.77951254329214,100.0000091788702,100.0
AUT,Austria,2021,10.311737626379367,1.0683409770010561,2.4911798509699032,16.811275903701343,0.7347703478457328,0.5701252221434752,18.031513160557537,2.1619599137789534,8.749452482994839,39.0696445146278,99.99999560536185,100.0
AUT,Austria,2022,10.05224752524053,1.130922391608626,2.512465146149056,15.29292279242975,0.9363447054945987,0.6006517608667049,17.7215382437269,2.181819236228582,8.956347604282726,40.61474059397253,100.0,100.0
AUT,Austria,2023,10.608731711667135,1.1474641890224246,2.5888851713107774,14.151828129631847,1.122056351676269,0.7381924323270402,17.331634231054167,2.299112159099637,9.354878226475135,40.657217397735565,99.99999196971072,100.0
AUT,Austria,2024,10.774314179457578,1.2271833508961438,2.7187055034828456,12.87210241179116,1.2801473894421167,0.7130025998055914,17.191315529263356,2.2957575411927404,9.588104188013846,41.339367306654616,100.00000000000001,100.0
AZE,"Azerbaijan, Republic of",2016,13.274817241551137,10.52281949363544,6.459192659481448,26.852601617302273,0.12015693707648778,2.40364360260991,3.6805382465336614,3.5220118673655216,9.44595080966843,23.718267524775676,100.00000000000001,100.0
AZE,"Azerbaijan, Republic of",2017,11.199192137351599,10.668758395243449,5.672057258309767,39.311161384083874,0.06445712620238228,1.2776778178061157,3.1079120145790298,1.1203565710473369,7.8206281317225095,19.75779916365393,100.00000000000001,100.0
AZE,"Azerbaijan, Republic of",2018,16.03263126592756,11.11120417783588,6.253533756146925,32.18242757839745,0.0695043389563835,1.831993261895774,3.032691548408545,1.290647505227473,8.454236292553976,19.74113027465004,100.0,100.0
AZE,"Azerbaijan, Republic of",2019,18.351058416254354,11.324100257602362,6.460413897711434,29.327994825336255,0.053148862802807104,1.3008278406559401,3.4094807016856112,1.3215596665719291,8.59315337103259,19.858262160346733,99.99999999999999,100.0
AZE,"Azerbaijan, Republic of",2020,15.963365195985196,11.848300990658569,7.351143088485427,22.611455882273027,0.8141143034143212,0.8874762932088532,5.762312587287181,1.2176052472842478,9.802010933653587,23.742215477749575,100.00000000000001,100.0
AZE,"Azerbaijan, Republic of",2021,10.765417374246011,14.432265730596963,7.932448210207147,20.621472502224794,1.6048558396615342,0.7783769467568205,4.672279944015659,1.3081711088752273,10.788627404205492,27.096084939210364,99.99999999999999,100.0
AZE,"Azerbaijan, Republic of",2022,14.746355392490448,13.243237064505673,6.6178033553889914,21.779816253189704,0.7540803161140673,0.7601178368797521,3.8529177880714363,1.1409860106884093,10.36504223094006,26.73964375173145,99.99994134658918,99.99999999999999
AZE,"Azerbaijan, Republic of",2023,14.222805275763129,11.947850772357798,8.475381930766748,24.925484212696507,0.8344613161601881,0.8201448167154161,4.1143585054420635,1.1490084029818908,10.151824052503338,23.358680714612916,100.00000000000001,100.0
BEL,Belgium,2016,15.066789964942148,1.5110011371294174,3.1674429621653184,12.591020610798445,2.2123329158323206,0.5790532195796031,14.276393245748439,2.3686991361837033,11.711602653243705,36.5156641543769,99.99995629788931,100.0
BEL,Belgium,2017,13.911190991225746,1.5188199064850436,3.222331419834523,12.376192772997141,2.4361086112623482,0.5762498932231425,14.475663073499579,2.4281273108021932,11.944512273514423,37.110803747155856,100.00004314218327,100.0
BEL,Belgium,2018,13.841501607383591,1.4440319402675514,3.263714611635383,12.711479829928447,2.4613087213522764,0.6588820906356943,14.420698952608113,2.547962252411075,11.833039510525767,36.8173804832521,100.00004148088416,100.0
BEL,Belgium,2019,13.3520813524359,1.518710415625856,3.214694364313226,12.842782549838038,2.549032247667241,0.6812138402281994,14.40436092891331,2.471072182559508,11.82108265781373,37.14496946060499,100.0,100.0
BEL,Belgium,2020,12.83588529450812,1.52630880205337,3.031560236609579,13.2146597630954,2.424879408771076,0.6504550751574693,14.623290702305622,2.164557242111785,11.1534348217315,38.37496865365609,100.0,100.0
BEL,Belgium,2021,12.749428652086431,1.6017520736647723,3.0669200796200964,12.794812826243701,2.467539706657125,0.6585739947243595,15.282994780100731,2.1880062789832073,11.307707937375598,37.882263670543985,100.00003596211606,100.0
BEL,Belgium,2022,12.37989200476354,1.8491669249634313,3.217562004817914,12.09430414851792,2.368071529171221,0.6937307297019527,14.89271168099534,2.306726047733242,11.81887823074873,38.37895669858671,100.0,100.0
