COUNTRY,COUNTRY_label,TIME_PERIOD,"Education n.e.c., Transactions","Education not definable by level, Transactions","Education, Transactions","Post-secondary non-tertiary education, Transactions","Pre-primary and primary education, Transactions","R&D Education, Transactions","Secondary education, Transactions","Subsidiary services to education, Transactions","Tertiary education, Transactions"
BWA,Botswana,2017,1.633317400437344,0.6040402849972593,16.48611175402875,0.1871975591852071,4.770584994306579,0.0299918392798451,4.11260839645137,0.0324417315683965,5.11592954780275
BWA,Botswana,2018,3.839336320953986,0.0,22.37806135688787,0.8285402775465585,6.179232860876123,0.0,5.545766826376386,0.0,5.985185071134818
BWA,Botswana,2019,3.661858164502119,0.0,21.95994105822114,0.7471850591122678,6.286180165085299,0.0,5.591273289517926,0.0,5.673444380003526
BWA,Botswana,2020,2.309908711432488,0.0,22.9260343418173,0.8034451865793129,6.503561831900018,0.0,6.043334177443768,0.0,7.265784434461715
BWA,Botswana,2021,3.89293033000697,0.0,24.26040733195127,1.329278377683852,6.560132410608828,0.0,6.178635076052032,0.0,6.299431137599593
BWA,Botswana,2022,2.212631074068796,0.0,22.0146184297874,1.264108383526983,6.999621158143883,0.0,5.51454717971354,0.0,6.023710634334194
BWA,Botswana,2023,2.212631074068796,0.0,22.0146184297874,1.264108383526983,6.999621158143883,0.0,5.51454717971354,0.0,6.023710634334194
BWA,Botswana,2024,1.835209404639168,1.31877828895215,20.0149565110948,0.9013537424752838,6.207655609096176,0.0,4.970214194920297,0.0,4.781745271011723
CAN,Canada,2016,7.986090630747535,0.0,12.66294177261345,1.643493321465149,,,,,3.033357820400766
CAN,Canada,2017,8.234445607495724,0.0,12.94046312134596,1.615052720263474,,,,,3.090964793586765
CAN,Canada,2018,8.235809545538947,0.0,12.93418464126254,1.708279378194073,,,,,2.990095717529524
CAN,Canada,2019,8.16892436899153,0.0,12.65248001070865,1.671380550641654,,,,,2.812175091075469
CAN,Canada,2020,6.58670506821986,0.0,9.952908132492496,1.230562782613661,,,,,2.135640281658976
CAN,Canada,2021,7.350901260108004,0.0,11.23145569614194,1.369337148535363,,,,,2.511217287498576
CAN,Canada,2022,7.618653946468959,0.0,11.76539822492227,1.462471211011282,,,,,2.684273067442031
CAN,Canada,2023,7.007323862990276,0.0,11.20294133749995,1.50267643181732,,,,,2.692941042692351
CAN,Canada,2024,7.190921909096907,0.0,11.41896894821771,1.493818723277392,,,,,2.734228315843406
CHE,Switzerland,2016,0.2566396567627573,3.197139341440293,15.35782134291143,0.0,3.027650732369996,0.1521446524285342,4.627892198824148,0.2531630624548264,3.84319169863087
CHE,Switzerland,2017,0.2534305630966255,3.199854003512139,15.35937476387009,0.0,3.066504540066594,0.1775493178067965,4.529766507340941,0.2657904718537162,3.866479360193275
CHE,Switzerland,2018,0.2884984926266962,3.25101563333764,15.4628914077081,0.0,3.076160467630323,0.1828351874396202,4.46899416488983,0.289225946042966,3.906161515741028
CHE,Switzerland,2019,0.2913801349567079,3.329973135859849,15.64546274014356,0.0,3.164680840464824,0.184157088306848,4.417806921642324,0.3184435156628045,3.9390211032502
CHE,Switzerland,2020,0.2611274348066621,3.052824473015195,14.24272254236769,0.0,2.893834967083811,0.1650423293898796,3.957040163873876,0.2931603092567999,3.61969286494147
CHE,Switzerland,2021,0.2735299059760866,3.166158475965845,14.58537191613342,0.0,2.982501596078758,0.0974443761731944,4.067650170147646,0.3237692065191993,3.674318185272691
CHE,Switzerland,2022,0.300666109898975,3.40293807864307,15.40446816854647,0.0,3.118479365530556,0.1322375015415461,4.314879574978196,0.358125512005725,3.777142025948404
CHE,Switzerland,2023,0.3084186436517441,3.486433048995576,15.85231231504618,0.0,3.151375531244292,0.1445372869717016,4.420401862713261,0.3742515363818891,3.966894405087713
CHE,Switzerland,2024,0.3004158825829296,3.641594989099919,15.16200783284475,0.0,3.104457760311226,0.0969429246469239,4.400611077019406,0.3965924501616848,3.221392749022662
CHL,Chile,2016,0.2360117734801769,0.0704840064899026,21.15220122797114,0.0,15.53135038959376,0.0,0.0,2.346183252605853,2.968171805801436
CHL,Chile,2017,0.205824450714279,0.0675724757582203,21.52995100935528,0.0,15.69318789625559,0.0,0.0,2.281255048205613,3.282111138421573
CHL,Chile,2018,1.280709327438744,0.0457679629929357,21.95108744148329,0.0,14.95565676362998,0.0,0.0,2.154467241709313,3.514486145712319
CHL,Chile,2019,0.3706996932256543,0.0466434736807601,22.11398136148006,0.0,0.0,0.0,15.86659054437209,2.126894958807591,3.703152691393972
CHL,Chile,2020,0.8179458191946851,0.0362746723448261,19.8688889242016,0.0,0.0,0.0,13.7382632957453,1.917235113284775,3.359170023632012
CHL,Chile,2021,0.262691063064219,0.0198405823957774,15.07785489406374,0.0,0.0,0.0,10.87305303310665,1.393766254654944,2.528503960842146
CHL,Chile,2022,0.2975000910440902,0.0372474540221816,18.78655434760673,0.0,0.0,0.0,13.36387207124404,1.812283316983937,3.275651414312483
CHL,Chile,2023,0.3029632491053954,0.0291817806200535,19.48235869355169,0.0,0.0,0.0,13.75387821939546,1.916329667202844,3.480005777227932
CHL,Chile,2024,0.3301471927731024,0.0296877676944449,19.86966057692801,0.0,0.0,0.0,13.91408410419858,1.922411353867433,3.673330158394452
CHN,"China, People's Republic of",2016,2.087148925771132,0.2873177318796921,12.26956203010314,1.079296799661576,3.727402226776082,0.0983750586881681,3.204489126624337,0.0,1.785532160702149
CHN,"China, People's Republic of",2017,2.013135904350607,0.2860978286390336,12.15529556782789,1.061857226685975,3.753523781080339,0.0989255449323996,3.208611003011471,0.0,1.733144279128067
CHN,"China, People's Republic of",2018,1.941176998668307,0.274269256756259,11.45068992757599,0.9987199293792776,3.489005871436375,0.0950798701751722,3.011182484784084,0.0,1.641255516376515
CHN,"China, People's Republic of",2019,1.858717195093702,0.2676826392216631,11.22663662434207,0.9708040773727344,3.449495418448758,0.0898406430120325,2.955656039758304,0.0,1.633210151350229
CHN,"China, People's Republic of",2020,1.679410689527567,0.2376890387932724,10.53292754136827,0.9066854487833031,3.337008668768336,0.0810308087953147,2.820789299191572,0.0,1.469338080452643
CHN,"China, People's Republic of",2021,1.657909657603867,0.2371564526537363,10.85031752992074,0.977576900459979,3.435350652071073,0.0795181032679119,2.905667791663924,0.0,1.557137972200248
CHN,"China, People's Republic of",2022,1.496935958890747,0.2174673862623513,10.50490279205315,0.9691512491480636,3.406613604486384,0.0723851090849147,2.848953955912797,0.0,1.493395528267896
CHN,"China, People's Republic of",2023,1.401215411228893,0.2229785357730612,10.43231005632459,0.9543489181269504,3.430759378257396,0.0736594317407293,2.853883874822408,0.0,1.49546450637515
CHN,"China, People's Republic of",2024,1.376635344556446,0.214289751406345,10.24211676720007,0.9221406034308955,3.353016686582388,0.0664310969051078,2.804387838806867,0.0,1.505215445512016
CMR,Cameroon,2021,13.3513929470402,0.433968614016074,18.2176073101873,0.0,1.38400974900704,0.387897684208562,0.179862104403427,0.0,2.48047621151206
COK,Cook Islands,2016,0.726825789913035,8.98636139057045,9.78553278276761,0.0,0.0,0.0,0.0,0.0,0.0723456022841095
COK,Cook Islands,2017,0.82704200184393,7.42923436266615,8.34029276295046,0.0,0.0,0.0,0.0,0.0,0.0840163984403703
COK,Cook Islands,2018,1.59314450783261,7.35119402704989,9.06059929904449,0.0,0.0,0.0,0.0,0.0,0.116260764161964
